1.0 1.0 1.0 1.0 1.0 1.0 1.0
0.9999884383592568 0.9999877207728173 0.9999884383592568 6.238776571802811e-2 0.22586169090976135 0.5629673121609056 0.7926298421049428
0.999991246424796 0.999988373118732 0.999991246424796 5.995257485462992e-2 0.22730634502607674 0.5587434428781974 0.7954611333951939
0.9999959213323637 0.999989459121203 0.9999959213323637 5.7520019947053136e-2 0.22885295793132407 0.5545453857497217 0.7982967407065142
1.0000024596427721 0.9999909802309455 1.0000024596427721 5.5090098131147104e-2 0.23049923747041082 0.5503743330212301 0.801136282646953
1.0000108579328393 0.9999929378908925 1.0000108579328393 5.266298324269329e-2 0.2322427960597567 0.5462314989519961 0.8039793780022895
1.0000211127954575 0.9999953335361921 1.0000211127954575 5.0239068622672974e-2 0.23408116410204263 0.5421181199658248 0.8068256457899973
1.0000332208396636 0.9999981685942045 1.0000332208396636 4.781902267628106e-2 0.23601180309029535 0.5380354547656307 0.8096747053117879
1.0000471786907073 1.000001444484501 1.0000471786907073 4.5403861795728175e-2 0.238032118278877 0.5339847844076868 0.8125261762047626
1.000062982990119 1.0000051626188589 1.000062982990119 4.2995047185025954e-2 0.2401394708178185 0.5299674123314108 0.8153796784912029
1.0000806303957772 1.0000093244012627 1.0000806303957772 4.0594614959323e-2 0.2423311892659517 0.5259846643403435 0.8182348326270285
1.0001001175819748 1.0000139312278984 1.0001001175819748 3.820535309172982e-2 0.24460458041689587 0.5220378885297404 0.8210912595489563
0.9987101648243072 0.5367091338426215 0.9987101648243072 4.5805931944973375e-3 5.636997265671919e-2 5.362687643347349e-3 5.066158208161118e-3
0.998494172893102 0.5363823225077528 0.998494172893102 4.925233328714005e-3 6.126653983144438e-2 6.709987266537699e-3 6.7414412029253865e-3
0.9982656817128193 0.5360627831104475 0.9982656817128193 5.34930524103775e-3 6.615575000114074e-2 8.941733680864612e-3 9.931159975158426e-3
0.9980246598024011 0.5357505267519073 0.9980246598024011 5.8463308308266725e-3 7.103510421736368e-2 1.1557027249995409e-2 1.3605127102694537e-2
0.997771076318012 0.5354455639731357 0.997771076318012 6.410714691177246e-3 7.590247487944062e-2 1.4348108572299524e-2 1.7456115691026803e-2
